Reference,Comment,Locality,Sample,Lithology,Age Minimum,Age Maximum,Age Precise,Age,SiO2,TiO2,CaO,Al2O3,MnO,Fe2O3,FeO,FeO.tot,MgO,Na2O,K2O,P2O5,H20 ,CO2,S,F,C,Corg,LOI,Cu,Pb,Hf,Zr,Nb,Ta,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,Ni,Co,Cr,Sc,Zn,V,Ga,Rb,Sr,Cs,Ba,U,Cl,Mo,As,Sn,W,Li,Be,Bi,B,Sb,Au (ng/g),Cd,Tl,Ag,Re,Ge,In,Te
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-17,Palaeosol,0,0.8,,0,74.99,0.96,1.17,12.95,0.104,x,4.59,4.59,1.64,1.38,2.05,0.15,x,x,x,x,x,x,5.67,19,18,x,405,16.4,x,39,43,88,x,38,x,x,x,x,x,x,x,x,x,x,15,36,x,83,12,62,83,15,98,103,x,374,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-18,Loess,0,0.8,,0,60.85,0.78,17.89,10.7,0.072,x,3.7,3.7,2.9,1.28,1.7,0.15,x,x,x,x,x,x,16.16,12,13,x,290,11.7,x,28,35,62,x,27,x,x,x,x,x,x,x,x,x,x,11,27,x,60,8,46,63,12,67,162,x,289,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-19,Loess,0,0.8,,0,62.02,0.81,12.69,11.55,0.087,x,3.99,3.99,5.22,1.45,2.02,0.17,x,x,x,x,x,x,14.49,16,15,x,308,12.4,x,30,31,65,x,30,x,x,x,x,x,x,x,x,x,x,11,32,x,66,11,54,69,13,76,203,x,327,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-20,Loess,0,0.8,,0,69.01,0.79,9.61,9.79,0.077,x,3.3,3.3,4.09,1.43,1.73,0.16,x,x,x,x,x,x,11.31,12,13,x,331,11.6,x,28,32,59,x,26,x,x,x,x,x,x,x,x,x,x,10,25,x,60,9,41,58,10,64,174,x,274,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-21,Loess,0,0.8,,0,65.31,0.87,11.38,10.8,0.084,x,3.67,3.67,4.27,1.54,1.89,0.19,x,x,x,x,x,x,12.73,14,13,x,364,12.7,x,30,37,69,x,31,x,x,x,x,x,x,x,x,x,x,12,28,x,65,10,48,64,10,71,184,x,301,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-22,Loess,0,0.8,,0,63.49,0.9,10.94,11.89,0.09,x,4.24,4.24,4.59,1.61,2.05,0.21,x,x,x,x,x,x,12.79,18,16,x,348,14.2,x,34,39,76,x,33,x,x,x,x,x,x,x,x,x,x,11,30,x,66,11,55,72,13,77,170,x,322,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-23,Loess,0,0.8,,0,65.01,0.91,7.68,13.36,0.085,x,4.69,4.69,4.21,1.57,2.27,0.2,x,x,x,x,x,x,10.7,21,18,x,348,14.5,x,37,43,88,x,37,x,x,x,x,x,x,x,x,x,x,13,35,x,75,11,64,81,15,92,144,x,366,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-24,Loess,0,0.8,,0,65.73,0.91,7.24,13.48,0.099,x,4.64,4.64,3.84,1.58,2.28,0.2,x,x,x,x,x,x,10.4,23,18,x,350,15,x,35,39,83,x,36,x,x,x,x,x,x,x,x,x,x,13,37,x,74,12,67,86,14,93,151,x,370,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-25,Palaeosol,0,0.8,,0,75.15,0.95,2.01,12.34,0.11,x,4.27,4.27,1.66,1.3,2.05,0.17,x,x,x,x,x,x,5.48,20,18,x,440,15.7,x,39,45,83,x,38,x,x,x,x,x,x,x,x,x,x,15,36,x,79,11,58,78,13,89,110,x,354,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-26,Palaeosol,0,0.8,,0,74.84,0.94,2.07,12.4,0.079,x,4.33,4.33,1.8,1.31,2.06,0.17,x,x,x,x,x,x,5.83,19,17,x,435,15.8,x,34,41,86,x,35,x,x,x,x,x,x,x,x,x,x,15,34,x,79,11,59,75,14,90,111,x,339,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-27,Palaeosol,0,0.8,,0,71.33,0.9,6.28,11.69,0.077,x,4.02,4.02,2.3,1.27,1.97,0.17,x,x,x,x,x,x,8.81,16,16,x,411,14.2,x,35,39,78,x,33,x,x,x,x,x,x,x,x,x,x,13,31,x,75,12,53,72,13,82,131,x,319,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-28,Loess,0,0.8,,0,64.75,0.83,12.27,10.75,0.083,x,3.66,3.66,4.18,1.38,1.91,0.18,x,x,x,x,x,x,13.28,12,15,x,371,12.3,x,31,33,71,x,31,x,x,x,x,x,x,x,x,x,x,12,28,x,65,10,46,63,11,67,182,x,284,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-29,Loess,0,0.8,,0,64.48,0.84,11.24,11.15,0.083,x,3.78,3.78,4.87,1.39,2,0.18,x,x,x,x,x,x,13.18,13,15,x,373,12.5,x,32,35,68,x,32,x,x,x,x,x,x,x,x,x,x,11,28,x,67,9,50,67,12,75,177,x,303,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-30,Loess,0,0.8,,0,60.18,0.78,16.6,10.02,0.083,x,3.49,3.49,5.52,1.3,1.85,0.17,x,x,x,x,x,x,16.48,12,13,x,332,12,x,29,32,62,x,29,x,x,x,x,x,x,x,x,x,x,10,25,x,63,9,43,59,9,65,200,x,263,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-31,Loess,0,0.8,,0,61.83,0.92,11.24,12.85,0.1,x,4.62,4.62,4.45,1.58,2.21,0.19,x,x,x,x,x,x,13.16,19,16,x,334,14.1,x,36,41,82,x,37,x,x,x,x,x,x,x,x,x,x,12,34,x,74,12,62,82,14,87,154,x,336,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-32,Loess,0,0.8,,0,60.72,0.88,12.31,13.11,0.099,x,4.66,4.66,4.19,1.52,2.34,0.17,x,x,x,x,x,x,13.56,19,17,x,306,13.6,x,33,35,79,x,35,x,x,x,x,x,x,x,x,x,x,11,36,x,74,12,64,80,14,90,173,x,364,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-33,Palaeosol,0,0.8,,0,68.15,0.83,6.85,13.42,0.1,x,4.54,4.54,2.18,1.47,2.33,0.14,x,x,x,x,x,x,9.1,19,20,x,301,14.2,x,33,40,76,x,32,x,x,x,x,x,x,x,x,x,x,12,37,x,74,13,65,83,15,101,142,x,395,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-34,Palaeosol,0,0.8,,0,77.33,0.76,2.74,11.29,0.088,x,3.63,3.63,1.08,1.05,1.94,0.09,x,x,x,x,x,x,5.83,14,18,x,310,13.2,x,31,32,67,x,30,x,x,x,x,x,x,x,x,x,x,13,30,x,65,9,51,71,12,91,102,x,353,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-35,Palaeosol,0,0.8,,0,80.89,0.72,1.12,10.28,0.095,x,3.24,3.24,0.85,0.94,1.8,0.07,x,x,x,x,x,x,4.31,11,18,x,307,12.1,x,25,32,65,x,25,x,x,x,x,x,x,x,x,x,x,12,27,x,59,9,46,65,12,82,83,x,331,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-36,Palaeosol,0,0.8,,0,78.29,0.65,2.02,11.36,0.044,x,3.79,3.79,1.1,0.82,1.85,0.08,x,x,x,x,x,x,5.83,14,17,x,244,11.2,x,23,27,58,x,23,x,x,x,x,x,x,x,x,x,x,11,31,x,65,10,51,72,13,82,81,x,314,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-37,Loess,0,0.8,,0,59.19,0.85,15.85,11.99,0.088,x,4.19,4.19,4.24,1.34,2.07,0.2,x,x,x,x,x,x,15.66,16,14,x,299,12.4,x,30,34,70,x,30,x,x,x,x,x,x,x,x,x,x,11,29,x,65,11,60,71,12,78,155,x,324,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-38,Loess,0,0.8,,0,62.32,0.87,12.06,12.89,0.097,x,4.44,4.44,3.48,1.33,2.34,0.18,x,x,x,x,x,x,13.21,19,16,x,325,14.1,x,32,39,77,x,32,x,x,x,x,x,x,x,x,x,x,12,35,x,74,12,60,77,14,90,162,x,370,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-39,Loess,0,0.8,,0,68.68,0.92,4.33,14.16,0.09,x,4.84,4.84,2.81,1.49,2.51,0.16,x,x,x,x,x,x,7.89,21,20,x,347,15.7,x,35,42,86,x,37,x,x,x,x,x,x,x,x,x,x,14,37,x,78,13,72,88,15,107,132,x,422,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-40,Loess,0,0.8,,0,75.59,0.74,6.18,9.47,0.081,x,3.08,3.08,1.75,1.25,1.74,0.12,x,x,x,x,x,x,7.57,12,14,x,316,11.1,x,27,32,57,x,27,x,x,x,x,x,x,x,x,x,x,10,24,x,59,9,46,56,9,73,118,x,293,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-41,Palaeosol,0,0.8,,0,78.97,0.72,3.24,9.39,0.078,x,3.1,3.1,1.37,1.27,1.73,0.11,x,x,x,x,x,x,5.31,13,14,x,305,11.3,x,27,28,58,x,26,x,x,x,x,x,x,x,x,x,x,9,24,x,61,8,50,57,10,70,102,x,300,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-42,Palaeosol,0,0.8,,0,76.02,0.67,7.09,8.78,0.074,x,2.88,2.88,1.61,1.14,1.61,0.12,x,x,x,x,x,x,7.95,12,12,x,276,10.1,x,25,29,51,x,22,x,x,x,x,x,x,x,x,x,x,9,23,x,53,8,41,50,9,62,115,x,275,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-43,Loess,0,0.8,,0,70.09,0.85,9.47,10.37,0.079,x,3.38,3.38,2.53,1.33,1.75,0.15,x,x,x,x,x,x,10.54,13,15,x,376,12.1,x,31,35,70,x,32,x,x,x,x,x,x,x,x,x,x,11,27,x,65,10,44,61,11,67,147,x,299,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-44,Palaeosol,0,0.8,,0,71.27,0.9,4.23,13.17,0.106,x,4.62,4.62,2.03,1.31,2.21,0.14,x,x,x,x,x,x,8.12,23,19,x,342,14.7,x,35,41,84,x,36,x,x,x,x,x,x,x,x,x,x,13,36,x,79,12,68,81,15,98,127,x,392,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-45,Palaeosol,0,0.8,,0,71.68,0.91,4.02,13.1,0.098,x,4.56,4.56,2.14,1.17,2.19,0.14,x,x,x,x,x,x,8.03,20,19,x,353,15.1,x,36,43,84,x,36,x,x,x,x,x,x,x,x,x,x,14,36,x,79,11,65,79,15,98,127,x,379,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-46,Palaeosol,0,0.8,,0,67.96,0.85,9.49,12.13,0.08,x,4.24,4.24,2,1.06,2.03,0.16,x,x,x,x,x,x,11.34,18,17,x,325,13.8,x,34,38,72,x,32,x,x,x,x,x,x,x,x,x,x,12,35,x,73,11,60,75,13,86,132,x,341,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-47,Loess,0,0.8,,0,60.3,0.8,15.99,11.22,0.082,x,3.91,3.91,4.32,1.26,1.94,0.17,x,x,x,x,x,x,16.04,17,13,x,297,12.5,x,28,29,68,x,30,x,x,x,x,x,x,x,x,x,x,11,30,x,64,9,54,68,12,71,219,x,313,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-48,Loess,0,0.8,,0,73.52,0.6,8.92,8.58,0.062,x,2.83,2.83,2.57,1.08,1.73,0.12,x,x,x,x,x,x,9.9,10,13,x,226,9.6,x,23,26,50,x,23,x,x,x,x,x,x,x,x,x,x,7,21,x,49,8,38,51,10,63,144,x,264,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-49,Loess,0,0.8,,0,64.19,0.88,11.3,11.98,0.084,x,4.1,4.1,3.88,1.34,2.07,0.18,x,x,x,x,x,x,13.06,19,15,x,351,13.9,x,34,36,72,x,33,x,x,x,x,x,x,x,x,x,x,12,30,x,70,11,58,74,12,79,169,x,329,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-50,Palaeosol,0,0.8,,0,65.98,0.92,8.57,13.78,0.097,x,4.94,4.94,2.17,1.18,2.2,0.16,x,x,x,x,x,x,9.25,22,18,x,334,15.2,x,36,39,80,x,35,x,x,x,x,x,x,x,x,x,x,13,37,x,78,12,66,89,16,98,125,x,389,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Újvári, Gábor, Andrea Varga, Béla Raucsik, and János Kovács. “The Paks Loess-Paleosol Sequence: A Record of Chemical Weathering and Provenance for the Last 800ka in the Mid-Carpathian Basin.” Quaternary International, Loess Research and Lithostratigraphy in Hungary, 319, no. Supplement C (January 15, 2014): 22–37. https://doi.org/10.1016/j.quaint.2012.04.004.
",,"Paks Sequence, mid-Carpathian Basin, Hungary",Pa-51,Palaeosol,0,0.8,,0,68.16,0.96,5.36,14.49,0.086,x,5.12,5.12,2.17,1.22,2.28,0.16,x,x,x,x,x,x,11.22,23,20,x,354,15.4,x,39,44,89,x,39,x,x,x,x,x,x,x,x,x,x,13,39,x,81,14,71,93,17,106,120,x,403,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
