Sample,suite,Location,Rock type,unit,Reference,Age,Age2se,Sm,Nd,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144 2se,eNd,TDM,,,Pb206_204,Pb207_204,Pb208_204,Mineral,Easting,Northing,UTM,Easting_for_R,"These Lat longs are from an online coversion tool, might not be exactly accurate",Latitude,Longitude,Latitude,,,Longitude,,,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3t,FeO,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,S,F,Cl,LOI,sum,Li,Rb,Cs,Be,Sr,Ba,Sc,Y,Zr,Hf,V,Nb,Ta,Cr,Mo,W,Co,Ni,Cu,Ag,Zn,Cd,Ga,In,Tl,Ge,Sn,Pb,As,Sb,Bi,Se,Te,Br,I,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U
34,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,4.98,0.86,0.1114,0.511226,,1.1,"2,849",,,,,,,468994,7249484,12,1468994,,65.36666667,-111.6666667,65,22,,111,40,,65 22,111 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Concession,Contwoyto Lake,Hb-bt tonalite,,Davis and Hegner 1992,2608,,54.89,9.22,0.1045,0.511099,,0.9,"2,860",,,14.078,14.85,33.887,Residue,460568,7257016,12,1460568,,65.43333333,-111.85,65,26,,111,51,,65 26,111 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Concession,Contwoyto Lake,Hb-bt tonalite,,Davis and Hegner 1992,2608,,54.89,9.22,0.1045,0.511099,,0.9,"2,860",,,14.08,14.89,34.039,Leach,460568,7257016,12,1460568,,65.43333333,-111.85,65,26,,111,51,,65 26,111 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Contwoyto Lake,,,Davis and Hegner 1992,2608,,41.21,6.22,0.0877,0.510809,,0.9,"2,862",,,,,,,468038,7232775,12,1468038,,65.21666667,-111.6833333,65,13,,111,41,,65 13,111 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,67.45,9.7,0.09079,0.510851,,0.7,"2,878",,,,,,,541602,7212460,12,1541602,,65.03333333,-110.1166667,65,2,,110,7,,65 02,110 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,1.51,0.38,0.1382,0.511634,,0.1,"2,926",,,,,,,465163,7253242,12,1465163,,65.4,-111.75,65,24,,111,45,,65 24,111 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Contwoyto Lake,,,Davis and Hegner 1992,2610,,25.27,5.32,0.1304,0.511494,,-0.1,"2,934",,,,,,,481609,7282815,12,1481609,,65.66666667,-111.4,65,40,,111,24,,65 40,111 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Contwoyto Lake,,,Davis and Hegner 1992,2645,,38.19,6.38,0.1019,0.510933,,-1,"3,033",,,,,,,403583,7217449,12,1403583,,65.06666667,-113.05,65,4,,113,3,,65 04,113 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pointless,Point Lake,Bt-Hb granodiorite,Pointless,Davis and Hegner 1992,2595,,66.87,11.63,0.1091,0.510966,,-3.2,"3,168",,,14.344,15.214,34.507,Residue,378251,7249990,12,1378251,,65.35,-113.6166667,65,21,,113,37,,65 21,113 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pointless,Point Lake,Bt-Hb granodiorite,Pointless,Davis and Hegner 1992,2595,,66.87,11.63,0.1091,0.510966,,-3.2,"3,168",,,14.343,15.18,34.452,Leach,378251,7249990,12,1378251,,65.35,-113.6166667,65,21,,113,37,,65 21,113 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pointless,Point Lake,Bt-Hb granodiorite,Pointless,Davis and Hegner 1992,2595,,53.65,7.29,0.08688,0.510511,,-4.6,"3,273",,,14.445,15.294,34.603,Residue,379026,7249958,12,1379026,,65.35,-113.6,65,21,,113,36,,65 21,113 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pointless,Point Lake,Bt-Hb granodiorite,Pointless,Davis and Hegner 1992,2595,,53.65,7.29,0.08688,0.510511,,-4.6,"3,273",,,14.462,15.239,34.563,Leach,379026,7249958,12,1379026,,65.35,-113.6,65,21,,113,36,,65 21,113 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
